time,robot1,human1,human2,human3,human4,human5,human6
0,"{""px"": 0.8, ""py"": -1.6, ""vx"": 0, ""vy"": 0, ""radius"": 0.4, ""gx"": 2.3, ""gy"": -1.0, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 0.3, ""py"": 4.6, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 1.0, ""gy"": 7.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -4.8, ""py"": 0.9, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 3.5, ""gy"": 0.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.6, ""py"": 6.6, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 4.5, ""gy"": -0.7, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.7, ""py"": -6.8, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": -3.7, ""gy"": 1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.1, ""py"": -3.2, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": -0.5, ""gy"": -5.6, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.3, ""py"": 1.4, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": -4.4, ""gy"": -0.1, ""v_pref"": 1.5, ""theta"": 0}"
0.25,"{""px"": 0.8855051204562188, ""py"": -1.478216989338398, ""vx"": 0.17101024091243744, ""vy"": 0.24356602132320404, ""radius"": 0.4, ""gx"": 2.3, ""gy"": -1.0, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 0.3114408228546381, ""py"": 4.6373104400932785, ""vx"": 0.0457632914185524, ""vy"": 0.14924176037311554, ""radius"": 0.5, ""gx"": 1.0, ""gy"": 7.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -4.737365524470806, ""py"": 0.858214782178402, ""vx"": 0.2505379021167755, ""vy"": -0.1671408712863922, ""radius"": 0.5, ""gx"": 3.5, ""gy"": 0.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.5561911597847938, ""py"": 6.587551909871399, ""vx"": 0.17523536086082458, ""vy"": -0.04979236051440239, ""radius"": 0.5, ""gx"": 4.5, ""gy"": -0.7, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.670712186768651, ""py"": -6.737631107866764, ""vx"": 0.11715125292539597, ""vy"": 0.24947556853294373, ""radius"": 0.5, ""gx"": -3.7, ""gy"": 1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.0492512866854669, ""py"": -3.2581300370395185, ""vx"": 0.20299485325813293, ""vy"": -0.23252014815807343, ""radius"": 0.5, ""gx"": -0.5, ""gy"": -5.6, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.23113191425800322, ""py"": 1.3347559064626693, ""vx"": -0.27547234296798706, ""vy"": -0.2609763741493225, ""radius"": 0.5, ""gx"": -4.4, ""gy"": -0.1, ""v_pref"": 1.5, ""theta"": 0}"
0.5,"{""px"": 1.2076268002390862, ""py"": -1.2150798872113229, ""vx"": 0.6442433595657349, ""vy"": 0.5262742042541504, ""radius"": 0.4, ""gx"": 2.3, ""gy"": -1.0, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 0.3391244180500507, ""py"": 4.677344428747892, ""vx"": 0.11073438078165054, ""vy"": 0.16013595461845398, ""radius"": 0.5, ""gx"": 1.0, ""gy"": 7.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -4.511157061159611, ""py"": 0.7853442817926407, ""vx"": 0.9048338532447815, ""vy"": -0.29148200154304504, ""radius"": 0.5, ""gx"": 3.5, ""gy"": 0.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.4919210135936737, ""py"": 6.580845470912754, ""vx"": 0.2570805847644806, ""vy"": -0.026825755834579468, ""radius"": 0.5, ""gx"": 4.5, ""gy"": -0.7, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.6413370564579963, ""py"": -6.6095385059714316, ""vx"": 0.11750052124261856, ""vy"": 0.5123704075813293, ""radius"": 0.5, ""gx"": -3.7, ""gy"": 1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.9389650806784631, ""py"": -3.4614897005259992, ""vx"": 0.44114482402801514, ""vy"": -0.8134386539459229, ""radius"": 0.5, ""gx"": -0.5, ""gy"": -5.6, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.027870568633079518, ""py"": 1.2157085180282592, ""vx"": -0.8130453824996948, ""vy"": -0.4761895537376404, ""radius"": 0.5, ""gx"": -4.4, ""gy"": -0.1, ""v_pref"": 1.5, ""theta"": 0}"
0.75,"{""px"": 1.6983691558241845, ""py"": -1.0851010367274285, ""vx"": 0.9814847111701965, ""vy"": 0.2599577009677887, ""radius"": 0.4, ""gx"": 2.3, ""gy"": -1.0, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 0.3746083743870258, ""py"": 4.717016341537237, ""vx"": 0.1419358253479004, ""vy"": 0.15868765115737915, ""radius"": 0.5, ""gx"": 1.0, ""gy"": 7.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -4.261445771157741, ""py"": 0.7733329307287932, ""vx"": 0.9988451600074768, ""vy"": -0.04804540425539017, ""radius"": 0.5, ""gx"": 3.5, ""gy"": 0.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.41881675869226453, ""py"": 6.576206545718014, ""vx"": 0.2924170196056366, ""vy"": -0.01855570077896118, ""radius"": 0.5, ""gx"": 4.5, ""gy"": -0.7, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.6368486441671848, ""py"": -6.501910629868507, ""vx"": 0.017953649163246155, ""vy"": 0.4305115044116974, ""radius"": 0.5, ""gx"": -3.7, ""gy"": 1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.8886964827775956, ""py"": -3.706383698433638, ""vx"": 0.20107439160346985, ""vy"": -0.9795759916305542, ""radius"": 0.5, ""gx"": -0.5, ""gy"": -5.6, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.21177364587783815, ""py"": 1.144500033557415, ""vx"": -0.9585768580436707, ""vy"": -0.2848339378833771, ""radius"": 0.5, ""gx"": -4.4, ""gy"": -0.1, ""v_pref"": 1.5, ""theta"": 0}"
1.0,"{""px"": 2.000034640729427, ""py"": -1.0224981293082238, ""vx"": 0.6033309698104858, ""vy"": 0.12520581483840942, ""radius"": 0.4, ""gx"": 2.3, ""gy"": -1.0, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 0.4132923625409603, ""py"": 4.755668087303638, ""vx"": 0.15473595261573792, ""vy"": 0.15460698306560516, ""radius"": 0.5, ""gx"": 1.0, ""gy"": 7.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -4.011734481155872, ""py"": 0.7613215796649456, ""vx"": 0.9988451600074768, ""vy"": -0.04804540425539017, ""radius"": 0.5, ""gx"": 3.5, ""gy"": 0.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.3431547716259956, ""py"": 6.57283052583225, ""vx"": 0.3026479482650757, ""vy"": -0.013504079543054104, ""radius"": 0.5, ""gx"": 4.5, ""gy"": -0.7, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.6492822252213954, ""py"": -6.454667198657989, ""vx"": -0.04973432421684265, ""vy"": 0.18897372484207153, ""radius"": 0.5, ""gx"": -3.7, ""gy"": 1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.7864704117178918, ""py"": -3.9254215441644194, ""vx"": 0.4089042842388153, ""vy"": -0.8761513829231262, ""radius"": 0.5, ""gx"": -0.5, ""gy"": -5.6, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.4514178603887558, ""py"": 1.0732915490865707, ""vx"": -0.9585768580436707, ""vy"": -0.2848339378833771, ""radius"": 0.5, ""gx"": -4.4, ""gy"": -0.1, ""v_pref"": 1.5, ""theta"": 0}"
