time,robot1,human1,human2,human3,human4,human5,human6
0,"{""px"": 3.1, ""py"": -0.1, ""vx"": 0, ""vy"": 0, ""radius"": 0.4, ""gx"": 5.6, ""gy"": -0.6, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -1.2, ""py"": -2.9, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 2.8, ""gy"": -0.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.6, ""py"": 7.1, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 1.1, ""gy"": -4.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -5.0, ""py"": -1.1, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": -0.6, ""gy"": -5.6, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -4.9, ""py"": 0.5, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.6, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.5, ""py"": 0.9, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 4.8, ""gy"": -0.7, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.2, ""py"": -1.4, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 6.3, ""gy"": 1.0, ""v_pref"": 1.5, ""theta"": 0}"
0.25,"{""px"": 3.2453537940979005, ""py"": -0.09136075377464295, ""vx"": 0.2907075881958008, ""vy"": 0.01727849245071411, ""radius"": 0.4, ""gx"": 5.6, ""gy"": -0.6, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -1.140469466149807, ""py"": -2.9161675307899713, ""vx"": 0.2381221354007721, ""vy"": -0.0646701231598854, ""radius"": 0.5, ""gx"": 2.8, ""gy"": -0.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.5752393644303083, ""py"": 7.0347168207168576, ""vx"": 0.09904254227876663, ""vy"": -0.26113271713256836, ""radius"": 0.5, ""gx"": 1.1, ""gy"": -4.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -4.973577968776226, ""py"": -1.0880063999444247, ""vx"": 0.10568812489509583, ""vy"": 0.04797440022230148, ""radius"": 0.5, ""gx"": -0.6, ""gy"": -5.6, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -4.83681725114584, ""py"": 0.48144458420574665, ""vx"": 0.25273099541664124, ""vy"": -0.0742216631770134, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.6, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.4256190285086632, ""py"": 0.8769396036863327, ""vx"": 0.2975238859653473, ""vy"": -0.09224158525466919, ""radius"": 0.5, ""gx"": 4.8, ""gy"": -0.7, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.13815994262695314, ""py"": -1.3591716453433036, ""vx"": 0.2473602294921875, ""vy"": 0.16331341862678528, ""radius"": 0.5, ""gx"": 6.3, ""gy"": 1.0, ""v_pref"": 1.5, ""theta"": 0}"
0.5,"{""px"": 3.711136555671692, ""py"": -0.08281149193644524, ""vx"": 0.931565523147583, ""vy"": 0.017098523676395416, ""radius"": 0.4, ""gx"": 5.6, ""gy"": -0.6, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -1.0630034327507019, ""py"": -2.8890536610037088, ""vx"": 0.3098641335964203, ""vy"": 0.10845547914505005, ""radius"": 0.5, ""gx"": 2.8, ""gy"": -0.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.5471853692084551, ""py"": 6.901221773028373, ""vx"": 0.11221598088741302, ""vy"": -0.5339801907539368, ""radius"": 0.5, ""gx"": 1.1, ""gy"": -4.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -4.931078761816025, ""py"": -1.0813188957050444, ""vx"": 0.16999682784080505, ""vy"": 0.02675001695752144, ""radius"": 0.5, ""gx"": -0.6, ""gy"": -5.6, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -4.668282257020474, ""py"": 0.4475772697478533, ""vx"": 0.6741399765014648, ""vy"": -0.1354692578315735, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.6, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.3054093196988106, ""py"": 0.857156615331769, ""vx"": 0.4808388352394104, ""vy"": -0.07913195341825485, ""radius"": 0.5, ""gx"": 4.8, ""gy"": -0.7, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.03239524066448213, ""py"": -1.3181890860199927, ""vx"": 0.42305880784988403, ""vy"": 0.1639302372932434, ""radius"": 0.5, ""gx"": 6.3, ""gy"": 1.0, ""v_pref"": 1.5, ""theta"": 0}"
0.75,"{""px"": 4.199431663751602, ""py"": -0.20238809511065484, ""vx"": 0.9765902161598206, ""vy"": -0.2391532063484192, ""radius"": 0.4, ""gx"": 5.6, ""gy"": -0.6, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -0.9617908269166946, ""py"": -2.835464175418019, ""vx"": 0.40485042333602905, ""vy"": 0.21435794234275818, ""radius"": 0.5, ""gx"": 2.8, ""gy"": -0.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.5123363699764013, ""py"": 6.653662598133087, ""vx"": 0.13939599692821503, ""vy"": -0.9902366995811462, ""radius"": 0.5, ""gx"": 1.1, ""gy"": -4.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -4.863761864602566, ""py"": -1.0704152522608639, ""vx"": 0.26926758885383606, ""vy"": 0.043614573776721954, ""radius"": 0.5, ""gx"": -0.6, ""gy"": -5.6, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -4.418937669694424, ""py"": 0.4841414485126734, ""vx"": 0.9973783493041992, ""vy"": 0.1462567150592804, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.6, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.1331239715218544, ""py"": 0.8380079600960016, ""vx"": 0.6891413927078247, ""vy"": -0.07659462094306946, ""radius"": 0.5, ""gx"": 4.8, ""gy"": -0.7, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.11749519705772399, ""py"": -1.279432737827301, ""vx"": 0.5995617508888245, ""vy"": 0.1550253927707672, ""radius"": 0.5, ""gx"": 6.3, ""gy"": 1.0, ""v_pref"": 1.5, ""theta"": 0}"
1.0,"{""px"": 4.6804243385791775, ""py"": -0.33893867060542104, ""vx"": 0.9619853496551514, ""vy"": -0.27310115098953247, ""radius"": 0.4, ""gx"": 5.6, ""gy"": -0.6, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -0.837957751750946, ""py"": -2.7523717913776635, ""vx"": 0.4953323006629944, ""vy"": 0.33236953616142273, ""radius"": 0.5, ""gx"": 2.8, ""gy"": -0.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.47748737074434755, ""py"": 6.4061034232378, ""vx"": 0.13939599692821503, ""vy"": -0.9902366995811462, ""radius"": 0.5, ""gx"": 1.1, ""gy"": -4.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -4.782675608992577, ""py"": -1.066248106211424, ""vx"": 0.32434502243995667, ""vy"": 0.01666858419775963, ""radius"": 0.5, ""gx"": -0.6, ""gy"": -5.6, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -4.176294462382794, ""py"": 0.5432709958404303, ""vx"": 0.970572829246521, ""vy"": 0.23651818931102753, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.6, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.11395945399999619, ""py"": 0.8045136701315642, ""vx"": 0.9883337020874023, ""vy"": -0.13397715985774994, ""radius"": 0.5, ""gx"": 4.8, ""gy"": -0.7, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.30275881588459014, ""py"": -1.2489863984286784, ""vx"": 0.7410544753074646, ""vy"": 0.12178535759449005, ""radius"": 0.5, ""gx"": 6.3, ""gy"": 1.0, ""v_pref"": 1.5, ""theta"": 0}"
1.25,"{""px"": 5.14021218419075, ""py"": -0.46946934089064596, ""vx"": 0.9195756912231445, ""vy"": -0.26106134057044983, ""radius"": 0.4, ""gx"": 5.6, ""gy"": -0.6, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -0.6866007715463638, ""py"": -2.627761076763272, ""vx"": 0.6054279208183289, ""vy"": 0.4984428584575653, ""radius"": 0.5, ""gx"": 2.8, ""gy"": -0.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.4426383715122938, ""py"": 6.158544248342514, ""vx"": 0.13939599692821503, ""vy"": -0.9902366995811462, ""radius"": 0.5, ""gx"": 1.1, ""gy"": -4.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -4.696202412247658, ""py"": -1.066410151217133, ""vx"": 0.3458927869796753, ""vy"": -0.0006481800228357315, ""radius"": 0.5, ""gx"": -0.6, ""gy"": -5.6, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -3.9378176346421245, ""py"": 0.6150516029447317, ""vx"": 0.953907310962677, ""vy"": 0.2871224284172058, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.6, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.37267904728651047, ""py"": 0.7433881755918265, ""vx"": 1.0348783731460571, ""vy"": -0.2445019781589508, ""radius"": 0.5, ""gx"": 4.8, ""gy"": -0.7, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.48355795741081237, ""py"": -1.2006069995462894, ""vx"": 0.7231965661048889, ""vy"": 0.19351759552955627, ""radius"": 0.5, ""gx"": 6.3, ""gy"": 1.0, ""v_pref"": 1.5, ""theta"": 0}"
