time,robot1,human1,human2,human3,human4,human5,human6
0,"{""px"": 0.3, ""py"": -2.1, ""vx"": 0, ""vy"": 0, ""radius"": 0.4, ""gx"": -1.1, ""gy"": 4.2, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 6.9, ""py"": -0.5, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -3.8, ""py"": 0.4, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 0.2, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -2.8, ""py"": -0.5, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -6.3, ""py"": 0.5, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": -1.2, ""gy"": 4.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.1, ""py"": 0.9, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": -2.5, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.6, ""py"": -5.2, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": -1.1, ""gy"": -2.8, ""v_pref"": 1.5, ""theta"": 0}"
0.25,"{""px"": 0.20460994094610213, ""py"": -1.6123423337936402, ""vx"": -0.19078011810779572, ""vy"": 0.9753153324127197, ""radius"": 0.4, ""gx"": -1.1, ""gy"": 4.2, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 6.834570655226708, ""py"": -0.47901021130383015, ""vx"": -0.26171737909317017, ""vy"": 0.08395915478467941, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -3.8213938523083923, ""py"": 0.36406987681984904, ""vx"": -0.0855754092335701, ""vy"": -0.14372049272060394, ""radius"": 0.5, ""gx"": 0.2, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -2.785234706662595, ""py"": -0.47143494337797165, ""vx"": 0.05906117334961891, ""vy"": 0.1142602264881134, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -6.262766014039516, ""py"": 0.5038592212367803, ""vx"": 0.1489359438419342, ""vy"": 0.015436884947121143, ""radius"": 0.5, ""gx"": -1.2, ""gy"": 4.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.088424533046782, ""py"": 0.8394497349858284, ""vx"": 0.04630186781287193, ""vy"": -0.2422010600566864, ""radius"": 0.5, ""gx"": -2.5, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.5728912301361561, ""py"": -5.134527724981308, ""vx"": 0.10843507945537567, ""vy"": 0.26188910007476807, ""radius"": 0.5, ""gx"": -1.1, ""gy"": -2.8, ""v_pref"": 1.5, ""theta"": 0}"
0.5,"{""px"": 0.12278783619403838, ""py"": -1.1203822255134583, ""vx"": -0.1636442095041275, ""vy"": 0.9839202165603638, ""radius"": 0.4, ""gx"": -1.1, ""gy"": 4.2, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 6.698590645194054, ""py"": -0.45560868084430695, ""vx"": -0.5439200401306152, ""vy"": 0.0936061218380928, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -3.823764616809785, ""py"": 0.3110344834625721, ""vx"": -0.009483058005571365, ""vy"": -0.21214157342910767, ""radius"": 0.5, ""gx"": 0.2, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -2.744386760704219, ""py"": -0.41378484666347504, ""vx"": 0.16339178383350372, ""vy"": 0.23060038685798645, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -6.2017139226198195, ""py"": 0.516579699004069, ""vx"": 0.24420836567878723, ""vy"": 0.05088191106915474, ""radius"": 0.5, ""gx"": -1.2, ""gy"": 4.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.102122549340129, ""py"": 0.7474915400147438, ""vx"": -0.05479206517338753, ""vy"": -0.3678327798843384, ""radius"": 0.5, ""gx"": -2.5, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.5195129685103893, ""py"": -4.952619504928589, ""vx"": 0.21351304650306702, ""vy"": 0.7276328802108765, ""radius"": 0.5, ""gx"": -1.1, ""gy"": -2.8, ""v_pref"": 1.5, ""theta"": 0}"
0.75,"{""px"": 0.01567048132419585, ""py"": -0.6323198139667512, ""vx"": -0.21423470973968506, ""vy"": 0.9761248230934143, ""radius"": 0.4, ""gx"": -1.1, ""gy"": 4.2, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 6.467902639508248, ""py"": -0.3879573121666908, ""vx"": -0.9227520227432251, ""vy"": 0.2706054747104645, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -3.7999510375782846, ""py"": 0.25444758087396624, ""vx"": 0.0952543169260025, ""vy"": -0.22634761035442352, ""radius"": 0.5, ""gx"": 0.2, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -2.683521626703441, ""py"": -0.3260226175189018, ""vx"": 0.2434605360031128, ""vy"": 0.35104891657829285, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -6.107956926524639, ""py"": 0.5264738129917532, ""vx"": 0.37502798438072205, ""vy"": 0.039576455950737, ""radius"": 0.5, ""gx"": -1.2, ""gy"": 4.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.124771923199296, ""py"": 0.6360759899020195, ""vx"": -0.0905974954366684, ""vy"": -0.4456622004508972, ""radius"": 0.5, ""gx"": -2.5, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.5349939506500959, ""py"": -4.698425990343094, ""vx"": -0.06192392855882645, ""vy"": 1.01677405834198, ""radius"": 0.5, ""gx"": -1.1, ""gy"": -2.8, ""v_pref"": 1.5, ""theta"": 0}"
1.0,"{""px"": -0.09680901914834977, ""py"": -0.1451357066631318, ""vx"": -0.22495900094509125, ""vy"": 0.9743682146072388, ""radius"": 0.4, ""gx"": -1.1, ""gy"": 4.2, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 6.239668348431588, ""py"": -0.28327155858278275, ""vx"": -0.9129371643066406, ""vy"": 0.4187430143356323, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -3.747579356841743, ""py"": 0.20187643691897394, ""vx"": 0.209486722946167, ""vy"": -0.21028457581996918, ""radius"": 0.5, ""gx"": 0.2, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -2.6011829880997537, ""py"": -0.1989632025361061, ""vx"": 0.32935455441474915, ""vy"": 0.5082376599311829, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -5.948524694144726, ""py"": 0.5500261972192675, ""vx"": 0.6377289295196533, ""vy"": 0.09420953691005707, ""radius"": 0.5, ""gx"": -1.2, ""gy"": 4.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.153748955950141, ""py"": 0.5186310425400734, ""vx"": -0.11590813100337982, ""vy"": -0.4697797894477844, ""radius"": 0.5, ""gx"": -2.5, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.5766768794506788, ""py"": -4.450490084290505, ""vx"": -0.16673171520233154, ""vy"": 0.9917436242103577, ""radius"": 0.5, ""gx"": -1.1, ""gy"": -2.8, ""v_pref"": 1.5, ""theta"": 0}"
1.25,"{""px"": -0.2092885196208954, ""py"": 0.3420484006404876, ""vx"": -0.22495900094509125, ""vy"": 0.9743682146072388, ""radius"": 0.4, ""gx"": -1.1, ""gy"": 4.2, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 6.01684799194336, ""py"": -0.16990891844034195, ""vx"": -0.8912814259529114, ""vy"": 0.4534505605697632, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -3.656800797395408, ""py"": 0.14229881539940836, ""vx"": 0.36311423778533936, ""vy"": -0.23831048607826233, ""radius"": 0.5, ""gx"": 0.2, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -2.506138196401298, ""py"": -0.04399483650922775, ""vx"": 0.38017916679382324, ""vy"": 0.6198734641075134, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -5.728435631096363, ""py"": 0.593774680281058, ""vx"": 0.8803562521934509, ""vy"": 0.17499393224716187, ""radius"": 0.5, ""gx"": -1.2, ""gy"": 4.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.1831408128142358, ""py"": 0.4002749785780907, ""vx"": -0.11756742745637894, ""vy"": -0.4734242558479309, ""radius"": 0.5, ""gx"": -2.5, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.6329209547489881, ""py"": -4.206485253572464, ""vx"": -0.2249763011932373, ""vy"": 0.9760193228721619, ""radius"": 0.5, ""gx"": -1.1, ""gy"": -2.8, ""v_pref"": 1.5, ""theta"": 0}"
1.5,"{""px"": -0.3217680275440216, ""py"": 0.829232507944107, ""vx"": -0.22495901584625244, ""vy"": 0.9743682146072388, ""radius"": 0.4, ""gx"": -1.1, ""gy"": 4.2, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 5.794027635455132, ""py"": -0.056546278297901154, ""vx"": -0.8912814259529114, ""vy"": 0.4534505605697632, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -3.5790810717269776, ""py"": 0.080664848536253, ""vx"": 0.3108789026737213, ""vy"": -0.24653586745262146, ""radius"": 0.5, ""gx"": 0.2, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -2.40050796251744, ""py"": 0.13422440737485886, ""vx"": 0.4225209355354309, ""vy"": 0.7128769755363464, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -5.510750691592693, ""py"": 0.6404493043664843, ""vx"": 0.870739758014679, ""vy"": 0.18669849634170532, ""radius"": 0.5, ""gx"": -1.2, ""gy"": 4.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.203353125974536, ""py"": 0.2817205205559731, ""vx"": -0.08084925264120102, ""vy"": -0.47421783208847046, ""radius"": 0.5, ""gx"": -2.5, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.6973901879042387, ""py"": -3.964873802661896, ""vx"": -0.2578769326210022, ""vy"": 0.966445803642273, ""radius"": 0.5, ""gx"": -1.1, ""gy"": -2.8, ""v_pref"": 1.5, ""theta"": 0}"
1.75,"{""px"": -0.43424752801656724, ""py"": 1.3164166152477264, ""vx"": -0.22495900094509125, ""vy"": 0.9743682146072388, ""radius"": 0.4, ""gx"": -1.1, ""gy"": 4.2, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 5.571207278966904, ""py"": 0.05681636184453964, ""vx"": -0.8912814259529114, ""vy"": 0.4534505605697632, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -3.5063267258927224, ""py"": 0.016144884377717994, ""vx"": 0.2910173833370209, ""vy"": -0.25807985663414, ""radius"": 0.5, ""gx"": 0.2, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -2.278649425320327, ""py"": 0.331975482404232, ""vx"": 0.48743414878845215, ""vy"": 0.7910043001174927, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -5.295367638766765, ""py"": 0.6885016153100878, ""vx"": 0.8615322113037109, ""vy"": 0.19220924377441406, ""radius"": 0.5, ""gx"": -1.2, ""gy"": 4.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.2200650706887246, ""py"": 0.16520056277513506, ""vx"": -0.0668477788567543, ""vy"": -0.46607983112335205, ""radius"": 0.5, ""gx"": -2.5, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.7665931399911642, ""py"": -3.7247279554605486, ""vx"": -0.276811808347702, ""vy"": 0.9605833888053894, ""radius"": 0.5, ""gx"": -1.1, ""gy"": -2.8, ""v_pref"": 1.5, ""theta"": 0}"
2.0,"{""px"": -0.5467270284891128, ""py"": 1.8036007225513457, ""vx"": -0.22495900094509125, ""vy"": 0.9743682146072388, ""radius"": 0.4, ""gx"": -1.1, ""gy"": 4.2, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 5.348386922478676, ""py"": 0.17017899453639984, ""vx"": -0.8912814259529114, ""vy"": 0.4534505307674408, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -3.435923880152404, ""py"": -0.04974182918667791, ""vx"": 0.2816113829612732, ""vy"": -0.2635468542575836, ""radius"": 0.5, ""gx"": 0.2, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -2.1487025378271936, ""py"": 0.5256808921694756, ""vx"": 0.5197875499725342, ""vy"": 0.7748216390609741, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -5.082329343259334, ""py"": 0.7370669099036604, ""vx"": 0.8521531820297241, ""vy"": 0.19426117837429047, ""radius"": 0.5, ""gx"": -1.2, ""gy"": 4.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.2327780866995455, ""py"": 0.05100488811731341, ""vx"": -0.05085206404328346, ""vy"": -0.4567826986312866, ""radius"": 0.5, ""gx"": -2.5, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.8373067867010832, ""py"": -3.4895799577236177, ""vx"": -0.2828545868396759, ""vy"": 0.9405919909477234, ""radius"": 0.5, ""gx"": -1.1, ""gy"": -2.8, ""v_pref"": 1.5, ""theta"": 0}"
2.25,"{""px"": -0.6592065289616584, ""py"": 2.290784829854965, ""vx"": -0.22495900094509125, ""vy"": 0.9743682146072388, ""radius"": 0.4, ""gx"": -1.1, ""gy"": 4.2, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 5.12390003502369, ""py"": 0.27999506890773773, ""vx"": -0.8979475498199463, ""vy"": 0.43926429748535156, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -3.36665204744786, ""py"": -0.11635078713297842, ""vx"": 0.27708733081817627, ""vy"": -0.266435831785202, ""radius"": 0.5, ""gx"": 0.2, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.9867715893313287, ""py"": 0.7076234146952629, ""vx"": 0.6477237939834595, ""vy"": 0.7277700901031494, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -4.879361297190189, ""py"": 0.7768079715315253, ""vx"": 0.8118721842765808, ""vy"": 0.15896424651145935, ""radius"": 0.5, ""gx"": -1.2, ""gy"": 4.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.24170225802809, ""py"": -0.06080760657787321, ""vx"": -0.03569668531417847, ""vy"": -0.44724997878074646, ""radius"": 0.5, ""gx"": -2.5, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.8912087682634592, ""py"": -3.3134564727544786, ""vx"": -0.2156079262495041, ""vy"": 0.7044939398765564, ""radius"": 0.5, ""gx"": -1.1, ""gy"": -2.8, ""v_pref"": 1.5, ""theta"": 0}"
