time,robot1,human1,human2,human3,human4,human5,human6
0,"{""px"": 5.7, ""py"": 0.1, ""vx"": 0, ""vy"": 0, ""radius"": 0.4, ""gx"": 3.1, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 6.0, ""py"": 1.1, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": -0.8, ""gy"": -5.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.9, ""py"": 3.7, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": -0.4, ""gy"": -7.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.2, ""py"": -7.2, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 0.6, ""gy"": -2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -3.6, ""py"": 0.1, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 1.2, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.6, ""py"": 1.2, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 4.2, ""gy"": 0.7, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 6.8, ""py"": -0.1, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": -3.7, ""gy"": 0.9, ""v_pref"": 1.5, ""theta"": 0}"
0.25,"{""px"": 5.554541957378388, ""py"": 0.09157659709453583, ""vx"": -0.2909160852432251, ""vy"": -0.016846805810928345, ""radius"": 0.4, ""gx"": 3.1, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 5.989951075054705, ""py"": 1.09977738247253, ""vx"": -0.04019569978117943, ""vy"": -0.0008904701098799706, ""radius"": 0.5, ""gx"": -0.8, ""gy"": -5.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.8878682345151901, ""py"": 3.6637387581169607, ""vx"": -0.0485270619392395, ""vy"": -0.1450449675321579, ""radius"": 0.5, ""gx"": -0.4, ""gy"": -7.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.1504810497164726, ""py"": -7.150257517397404, ""vx"": 0.1980758011341095, ""vy"": 0.19896993041038513, ""radius"": 0.5, ""gx"": 0.6, ""gy"": -2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -3.5195674285292626, ""py"": 0.0959915466606617, ""vx"": 0.32173028588294983, ""vy"": -0.01603381335735321, ""radius"": 0.5, ""gx"": 1.2, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.6749981552362442, ""py"": 1.0998460322618484, ""vx"": 0.2999926209449768, ""vy"": -0.4006158709526062, ""radius"": 0.5, ""gx"": 4.2, ""gy"": 0.7, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 6.791336638107896, ""py"": -0.11997235603630543, ""vx"": -0.034653447568416595, ""vy"": -0.07988942414522171, ""radius"": 0.5, ""gx"": -3.7, ""gy"": 0.9, ""v_pref"": 1.5, ""theta"": 0}"
0.5,"{""px"": 5.056334835290909, ""py"": 0.1338810384273529, ""vx"": -0.9964142441749573, ""vy"": 0.08460888266563416, ""radius"": 0.4, ""gx"": 3.1, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 5.966587302275002, ""py"": 1.0703719599638135, ""vx"": -0.09345509111881256, ""vy"": -0.11762169003486633, ""radius"": 0.5, ""gx"": -0.8, ""gy"": -5.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.8397562704980374, ""py"": 3.5293263204395773, ""vx"": -0.19244785606861115, ""vy"": -0.5376497507095337, ""radius"": 0.5, ""gx"": -0.4, ""gy"": -7.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.0924048468470573, ""py"": -7.030662034451962, ""vx"": 0.23230481147766113, ""vy"": 0.4783819317817688, ""radius"": 0.5, ""gx"": 0.6, ""gy"": -2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -3.292804239690304, ""py"": 0.1422559678554535, ""vx"": 0.907052755355835, ""vy"": 0.18505768477916718, ""radius"": 0.5, ""gx"": 1.2, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.8284682095050812, ""py"": 1.027668771147728, ""vx"": 0.6138802170753479, ""vy"": -0.28870904445648193, ""radius"": 0.5, ""gx"": 4.2, ""gy"": 0.7, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 6.74062146730721, ""py"": -0.13919013030827046, ""vx"": -0.20286068320274353, ""vy"": -0.07687109708786011, ""radius"": 0.5, ""gx"": -3.7, ""gy"": 0.9, ""v_pref"": 1.5, ""theta"": 0}"
0.75,"{""px"": 4.55812771320343, ""py"": 0.17618547976017, ""vx"": -0.9964142441749573, ""vy"": 0.08460888266563416, ""radius"": 0.4, ""gx"": 3.1, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 5.8826400162652135, ""py"": 1.0270084260497243, ""vx"": -0.33578914403915405, ""vy"": -0.1734541356563568, ""radius"": 0.5, ""gx"": -0.8, ""gy"": -5.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.8105224218219519, ""py"": 3.281041444092989, ""vx"": -0.11693539470434189, ""vy"": -0.9931395053863525, ""radius"": 0.5, ""gx"": -0.4, ""gy"": -7.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.006587278842926, ""py"": -6.795852874219418, ""vx"": 0.34327027201652527, ""vy"": 0.9392366409301758, ""radius"": 0.5, ""gx"": 0.6, ""gy"": -2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -3.0694234654307366, ""py"": 0.25451027452945707, ""vx"": 0.893523097038269, ""vy"": 0.4490172266960144, ""radius"": 0.5, ""gx"": 1.2, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0734336137771607, ""py"": 0.9802828699350357, ""vx"": 0.9798616170883179, ""vy"": -0.18954360485076904, ""radius"": 0.5, ""gx"": 4.2, ""gy"": 0.7, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 6.658805844560265, ""py"": -0.16514244712889195, ""vx"": -0.3272624909877777, ""vy"": -0.10380926728248596, ""radius"": 0.5, ""gx"": -3.7, ""gy"": 0.9, ""v_pref"": 1.5, ""theta"": 0}"
1.0,"{""px"": 4.059920591115952, ""py"": 0.21848991736769677, ""vx"": -0.9964142441749573, ""vy"": 0.08460887521505356, ""radius"": 0.4, ""gx"": 3.1, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 5.6972906263545156, ""py"": 0.9018181978259237, ""vx"": -0.7413975596427917, ""vy"": -0.5007609128952026, ""radius"": 0.5, ""gx"": -0.8, ""gy"": -5.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.7812885731458664, ""py"": 3.032756567746401, ""vx"": -0.11693539470434189, ""vy"": -0.9931395053863525, ""radius"": 0.5, ""gx"": -0.4, ""gy"": -7.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.9207697108387947, ""py"": -6.561043713986874, ""vx"": 0.34327027201652527, ""vy"": 0.9392366409301758, ""radius"": 0.5, ""gx"": 0.6, ""gy"": -2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -2.8460426911711694, ""py"": 0.36676458120346067, ""vx"": 0.893523097038269, ""vy"": 0.4490172266960144, ""radius"": 0.5, ""gx"": 1.2, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.448380982875824, ""py"": 0.9739982567727565, ""vx"": 1.4997894763946533, ""vy"": -0.025138452649116516, ""radius"": 0.5, ""gx"": 4.2, ""gy"": 0.7, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 6.55871923007071, ""py"": -0.2033927146345377, ""vx"": -0.40034645795822144, ""vy"": -0.153001070022583, ""radius"": 0.5, ""gx"": -3.7, ""gy"": 0.9, ""v_pref"": 1.5, ""theta"": 0}"
1.25,"{""px"": 3.579960298538208, ""py"": 0.25924495831131933, ""vx"": -0.9599205851554871, ""vy"": 0.08151008188724518, ""radius"": 0.4, ""gx"": 3.1, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 5.512237441726029, ""py"": 0.7337250082287938, ""vx"": -0.7402127385139465, ""vy"": -0.6723727583885193, ""radius"": 0.5, ""gx"": -0.8, ""gy"": -5.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.7520547244697809, ""py"": 2.784471691399813, ""vx"": -0.11693539470434189, ""vy"": -0.9931395053863525, ""radius"": 0.5, ""gx"": -0.4, ""gy"": -7.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.8349521428346633, ""py"": -6.32623455375433, ""vx"": 0.34327027201652527, ""vy"": 0.9392366409301758, ""radius"": 0.5, ""gx"": 0.6, ""gy"": -2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -2.622661916911602, ""py"": 0.47901888787746427, ""vx"": 0.893523097038269, ""vy"": 0.4490172266960144, ""radius"": 0.5, ""gx"": 1.2, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.635771429538727, ""py"": 0.980103538185358, ""vx"": 0.7495617866516113, ""vy"": 0.024421125650405884, ""radius"": 0.5, ""gx"": 4.2, ""gy"": 0.7, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 6.429893163219094, ""py"": -0.19514731727540494, ""vx"": -0.5153042674064636, ""vy"": 0.03298158943653107, ""radius"": 0.5, ""gx"": -3.7, ""gy"": 0.9, ""v_pref"": 1.5, ""theta"": 0}"
