time,robot1,human1,human2,human3,human4,human5,human6
0,"{""px"": -0.1, ""py"": 6.2, ""vx"": 0, ""vy"": 0, ""radius"": 0.4, ""gx"": -7.1, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -0.2, ""py"": -2.4, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 5.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 2.6, ""py"": 0.4, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.2, ""py"": 7.2, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 2.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.1, ""py"": -3.5, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -2.9, ""py"": 0.4, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 0.8, ""gy"": 3.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.3, ""py"": 0.0, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 3.4, ""gy"": 0.8, ""v_pref"": 1.5, ""theta"": 0}"
0.25,"{""px"": -0.11793140545487404, ""py"": 6.088722255825997, ""vx"": -0.03586281090974808, ""vy"": -0.2225554883480072, ""radius"": 0.4, ""gx"": -7.1, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -0.16099118515849115, ""py"": -2.363792584836483, ""vx"": 0.15603525936603546, ""vy"": 0.144829660654068, ""radius"": 0.5, ""gx"": 5.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 2.548888558894396, ""py"": 0.42155828289687636, ""vx"": -0.2044457644224167, ""vy"": 0.08623313158750534, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.1910120610147714, ""py"": 7.182157122343779, ""vx"": -0.035951755940914154, ""vy"": -0.07137151062488556, ""radius"": 0.5, ""gx"": 2.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0939928208477796, ""py"": -3.4806675128638744, ""vx"": -0.02402871660888195, ""vy"": 0.07732994854450226, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -2.8572066850960254, ""py"": 0.41335657201707365, ""vx"": 0.17117325961589813, ""vy"": 0.053426288068294525, ""radius"": 0.5, ""gx"": 0.8, ""gy"": 3.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.2553500972688198, ""py"": 0.025287870317697525, ""vx"": 0.17859961092472076, ""vy"": 0.1011514812707901, ""radius"": 0.5, ""gx"": 3.4, ""gy"": 0.8, ""v_pref"": 1.5, ""theta"": 0}"
0.5,"{""px"": -0.16389809772372246, ""py"": 5.904148575663567, ""vx"": -0.09193338453769684, ""vy"": -0.3691473603248596, ""radius"": 0.4, ""gx"": -7.1, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -0.08554681465029718, ""py"": -2.2991248235106467, ""vx"": 0.3017774820327759, ""vy"": 0.2586710453033447, ""radius"": 0.5, ""gx"": 5.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 2.489289688318968, ""py"": 0.47205276377499106, ""vx"": -0.23839548230171204, ""vy"": 0.2019779235124588, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.1687988813966512, ""py"": 7.132467248290777, ""vx"": -0.08885271847248077, ""vy"": -0.19875949621200562, ""radius"": 0.5, ""gx"": 2.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0892884441651405, ""py"": -3.448743037879467, ""vx"": -0.018817506730556488, ""vy"": 0.1276978999376297, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -2.772142147272825, ""py"": 0.45542291142046454, ""vx"": 0.3402581512928009, ""vy"": 0.16826535761356354, ""radius"": 0.5, ""gx"": 0.8, ""gy"": 3.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.20224679559469222, ""py"": 0.021733589470386505, ""vx"": 0.21241320669651031, ""vy"": -0.01421712338924408, ""radius"": 0.5, ""gx"": 3.4, ""gy"": 0.8, ""v_pref"": 1.5, ""theta"": 0}"
0.75,"{""px"": -0.2730929799377918, ""py"": 5.540818777680397, ""vx"": -0.21838976442813873, ""vy"": -0.7266595959663391, ""radius"": 0.4, ""gx"": -7.1, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 0.037466443330049504, ""py"": -2.203815461695194, ""vx"": 0.4920530319213867, ""vy"": 0.3812374472618103, ""radius"": 0.5, ""gx"": 5.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 2.284129994362593, ""py"": 0.6067690510302782, ""vx"": -0.8206387758255005, ""vy"": 0.5388651490211487, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.1381842389702796, ""py"": 7.041782007366419, ""vx"": -0.1224585697054863, ""vy"": -0.36274096369743347, ""radius"": 0.5, ""gx"": 2.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0323285506106914, ""py"": -3.390705209225416, ""vx"": -0.22783957421779633, ""vy"": 0.2321513146162033, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -2.588745331019163, ""py"": 0.5802299041301012, ""vx"": 0.7335872650146484, ""vy"": 0.49922797083854675, ""radius"": 0.5, ""gx"": 0.8, ""gy"": 3.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.129140268266201, ""py"": 0.027351217810064554, ""vx"": 0.29242610931396484, ""vy"": 0.022470513358712196, ""radius"": 0.5, ""gx"": 3.4, ""gy"": 0.8, ""v_pref"": 1.5, ""theta"": 0}"
1.0,"{""px"": -0.48569353893399236, ""py"": 5.116523203253746, ""vx"": -0.4252011179924011, ""vy"": -0.848591148853302, ""radius"": 0.4, ""gx"": -7.1, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 0.25628022029995917, ""py"": -2.0881150528788566, ""vx"": 0.8752551078796387, ""vy"": 0.46280163526535034, ""radius"": 0.5, ""gx"": 5.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 2.0850103817880155, ""py"": 0.7579357732087374, ""vx"": -0.7964784502983093, ""vy"": 0.6046668887138367, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0979739025235176, ""py"": 6.896861121803522, ""vx"": -0.16084134578704834, ""vy"": -0.5796835422515869, ""radius"": 0.5, ""gx"": 2.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.9684821561910213, ""py"": -3.298973713070154, ""vx"": -0.2553855776786804, ""vy"": 0.366925984621048, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -2.3909578077495097, ""py"": 0.7331354130059481, ""vx"": 0.7911500930786133, ""vy"": 0.6116220355033875, ""radius"": 0.5, ""gx"": 0.8, ""gy"": 3.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.03705025017261504, ""py"": 0.06364879244938493, ""vx"": 0.36836007237434387, ""vy"": 0.1451902985572815, ""radius"": 0.5, ""gx"": 3.4, ""gy"": 0.8, ""v_pref"": 1.5, ""theta"": 0}"
1.25,"{""px"": -0.6660281665623188, ""py"": 4.728149083256722, ""vx"": -0.36066925525665283, ""vy"": -0.7767482399940491, ""radius"": 0.4, ""gx"": -7.1, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 0.4793372519314289, ""py"": -1.9822418928146361, ""vx"": 0.8922281265258789, ""vy"": 0.4234926402568817, ""radius"": 0.5, ""gx"": 5.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.8858907692134381, ""py"": 0.9091024953871966, ""vx"": -0.7964784502983093, ""vy"": 0.6046668887138367, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0594314977526664, ""py"": 6.676737413555384, ""vx"": -0.15416961908340454, ""vy"": -0.8804948329925537, ""radius"": 0.5, ""gx"": 2.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.9052390054799617, ""py"": -3.1628276146948338, ""vx"": -0.2529726028442383, ""vy"": 0.5445843935012817, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -2.1931702844798564, ""py"": 0.886040921881795, ""vx"": 0.7911500930786133, ""vy"": 0.6116220355033875, ""radius"": 0.5, ""gx"": 0.8, ""gy"": 3.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.0990384191274643, ""py"": 0.08716464648023248, ""vx"": 0.5443546772003174, ""vy"": 0.0940634161233902, ""radius"": 0.5, ""gx"": 3.4, ""gy"": 0.8, ""v_pref"": 1.5, ""theta"": 0}"
1.5,"{""px"": -0.7994067914783954, ""py"": 4.370882299542427, ""vx"": -0.2667572498321533, ""vy"": -0.7145335674285889, ""radius"": 0.4, ""gx"": -7.1, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 0.7045880623161793, ""py"": -1.881953240931034, ""vx"": 0.9010032415390015, ""vy"": 0.40115460753440857, ""radius"": 0.5, ""gx"": 5.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.6867711566388608, ""py"": 1.0602692175656556, ""vx"": -0.7964784502983093, ""vy"": 0.6046668887138367, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0431783020496368, ""py"": 6.43040384426713, ""vx"": -0.06501278281211853, ""vy"": -0.9853342771530151, ""radius"": 0.5, ""gx"": 2.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.8448831261135639, ""py"": -3.002124223858118, ""vx"": -0.24142351746559143, ""vy"": 0.6428135633468628, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.995382761210203, ""py"": 1.0389464307576417, ""vx"": 0.7911500930786133, ""vy"": 0.6116220355033875, ""radius"": 0.5, ""gx"": 0.8, ""gy"": 3.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.27063739001750947, ""py"": 0.12814426654949784, ""vx"": 0.6863958835601807, ""vy"": 0.16391848027706146, ""radius"": 0.5, ""gx"": 3.4, ""gy"": 0.8, ""v_pref"": 1.5, ""theta"": 0}"
1.75,"{""px"": -0.9073358945548534, ""py"": 4.023348358273506, ""vx"": -0.21585820615291595, ""vy"": -0.6950678825378418, ""radius"": 0.4, ""gx"": -7.1, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 0.9309217102825642, ""py"": -1.7849071711301803, ""vx"": 0.9053345918655396, ""vy"": 0.3881842792034149, ""radius"": 0.5, ""gx"": 5.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.4876515440642835, ""py"": 1.2114359397441148, ""vx"": -0.7964784502983093, ""vy"": 0.6046668887138367, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0386776046827435, ""py"": 6.184319869428873, ""vx"": -0.018002789467573166, ""vy"": -0.9843358993530273, ""radius"": 0.5, ""gx"": 2.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.7873299241997302, ""py"": -2.8254981227219105, ""vx"": -0.23021280765533447, ""vy"": 0.7065044045448303, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.7975952379405498, ""py"": 1.1918519396334886, ""vx"": 0.7911500930786133, ""vy"": 0.6116220355033875, ""radius"": 0.5, ""gx"": 0.8, ""gy"": 3.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.4762248516082764, ""py"": 0.19494027132168412, ""vx"": 0.8223498463630676, ""vy"": 0.2671840190887451, ""radius"": 0.5, ""gx"": 3.4, ""gy"": 0.8, ""v_pref"": 1.5, ""theta"": 0}"
2.0,"{""px"": -0.9981659673154354, ""py"": 3.6884486347436907, ""vx"": -0.18166014552116394, ""vy"": -0.6697994470596313, ""radius"": 0.4, ""gx"": -7.1, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 1.1577088005840779, ""py"": -1.6898101210594176, ""vx"": 0.9071483612060547, ""vy"": 0.38038820028305054, ""radius"": 0.5, ""gx"": 5.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.3072214297950269, ""py"": 1.4210019070655107, ""vx"": -0.7217204570770264, ""vy"": 0.8382638692855835, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0405794178834185, ""py"": 5.938560695201159, ""vx"": 0.007607252802699804, ""vy"": -0.9830366969108582, ""radius"": 0.5, ""gx"": 2.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.7325784684158863, ""py"": -2.633329648524523, ""vx"": -0.21900582313537598, ""vy"": 0.7686738967895508, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.6184972129762172, ""py"": 1.2863582033663987, ""vx"": 0.7163920998573303, ""vy"": 0.3780250549316406, ""radius"": 0.5, ""gx"": 0.8, ""gy"": 3.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.7106492638587951, ""py"": 0.2620266848243773, ""vx"": 0.9376976490020752, ""vy"": 0.2683456540107727, ""radius"": 0.5, ""gx"": 3.4, ""gy"": 0.8, ""v_pref"": 1.5, ""theta"": 0}"
2.25,"{""px"": -1.0766891859471799, ""py"": 3.368071523308754, ""vx"": -0.15704643726348877, ""vy"": -0.640754222869873, ""radius"": 0.4, ""gx"": -7.1, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": 1.3845709033310414, ""py"": -1.5959494948387145, ""vx"": 0.907448410987854, ""vy"": 0.3754425048828125, ""radius"": 0.5, ""gx"": 5.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.1252302996814252, ""py"": 1.6310674507170915, ""vx"": -0.7279645204544067, ""vy"": 0.8402621746063232, ""radius"": 0.5, ""gx"": -1.0, ""gy"": 3.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.045994779258035, ""py"": 5.6931413121521475, ""vx"": 0.02166144549846649, ""vy"": -0.9816775321960449, ""radius"": 0.5, ""gx"": 2.6, ""gy"": -0.8, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.6896207601763309, ""py"": -2.402762893587351, ""vx"": -0.17183083295822144, ""vy"": 0.9222670197486877, ""radius"": 0.5, ""gx"": 0.1, ""gy"": 2.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -1.4416189543902873, ""py"": 1.3815748650580644, ""vx"": 0.7075130343437195, ""vy"": 0.3808666467666626, ""radius"": 0.5, ""gx"": 0.8, ""gy"": 3.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 0.953761664032936, ""py"": 0.3206678465940058, ""vx"": 0.9724496006965637, ""vy"": 0.2345646470785141, ""radius"": 0.5, ""gx"": 3.4, ""gy"": 0.8, ""v_pref"": 1.5, ""theta"": 0}"
